Id	Location	Type
00812	Garabonc	village
00813	Nagyrada	village
00814	Zalaszabar	village
00815	Orosztony	village
00816	Kerecseny	village
00817	Kilimán	village
00818	Alsórajk	village
00819	Felsőrajk	village
00820	Pötréte	village
00821	Hahót	village
00822	Szigetcsép	village
00823	Szigetújfalu	village
00824	Kunszentmiklós	town
00825	Apostag	village
00826	Dunaföldvár	town
00827	Nagyvenyim	village
00828	Mezőszilas	village
00829	Pusztaegres	suburb
00830	Mezőfalva	village
00831	Pálhalma	suburb
00832	Újgalambos	hamlet
00833	Halásztelek	town
00834	Szigethalom	town
00835	Dunavarsány	town
00836	Délegyháza	village
00837	Szigetbecse	village
00838	Makád	village
00839	Szigetszentmiklós	town
00840	Dunaharaszti	town
00841	Taksony	village
00842	Gyál	town
00843	Újireg	village
00844	Iregszemcse	village
00845	Nagykónyi	village
00846	Koppányszántó	village
00847	Értény	village
00848	Törökkoppány	village
00849	Szorosad	village
00850	Somogydöröcske	village
00851	Somogyacsa	village
00852	Tamási	town
00853	Kéty	village
00854	Zomba	village
00855	Kisdorog	village
00856	Harc	village
00857	Bonyhádvarasd	village
00858	Murga	village
00859	Szatta	village
00860	Becsvölgye	village
00861	Szilvágy	village
00862	Pórszombat	village
00863	Csesztreg	village
00864	Kerkafalva	village
00865	Nagyrákos	village
00866	Pankasz	village
00867	Felsőjánosfa	village
00868	Zalalövő	town
00869	Zalacséb	village
00870	Zalaszentgyörgy	village
00871	Kávás	village
00872	Boncodfölde	village
00873	Teskánd	village
00874	Gellénháza	village
00875	Sárhida	village
00876	Sárbogárd	town
00877	Sárkeresztúr	village
00878	Káloz	village
00879	Sárszentágota	village
00880	Felsőkörtvélyes	hamlet
00881	Németfalu	village
00882	Salomvár	village
00883	Cigányhegy	farm
00884	Nagylengyel	village
00885	Babosdöbréte	village
00886	Dobronhegy	village
00887	Milejszeg	village
00888	Terézváros	suburb
00889	Erzsébetváros	suburb
00890	Újlipótváros	suburb
00891	Lipótváros	suburb
00892	Belváros	suburb
00893	Gombosszeg	village
00894	Csonkahegyhát	village
00895	Kustánszeg	village
00896	Őriszentpéter	town
00897	Szalafő	village
00898	Nagykapornak	village
00899	Rádihegy	farm
00900	Ligetfalva	village
00901	Zalacsány	village
00902	Ikrény	village
00903	Szilsárkány	village
00904	Szil	village
00905	Rábasebes	village
00906	Szany	village
00907	Csorna	town
00908	Kóny	village
00909	Enese	village
00910	Istvánmező	suburb
00911	Abda	village
00912	Börcs	village
00913	Öttevény	village
00914	Vámosszabadi	village
00915	Győrújfalu	village
00916	Győrzámoly	village
00917	Győrladamér	village
00918	Dunaszeg	village
00919	Ásványráró	village
00920	Hédervár	village
00921	Lipót	village
00922	Darnózseli	village
00923	Halászi	village
00924	Mosonmagyaróvár	town
00925	Máriakálnok	village
00926	Mórichida	village
00927	Árpás	village
00928	Egyed	village
00929	Rábacsanak	village
00930	Rábaszentandrás	village
00931	Kemenesszentpéter	village
00932	Pápoc	village
00933	Dunasziget	village
00934	Cikolasziget	hamlet
00935	Doborgazsziget	hamlet
00936	Gyirmót	suburb
00937	Koroncó	village
00938	Rábapatona	village
00939	Bágyogszovát	village
00940	Barbacs	village
00941	Bősárkány	village
00942	Jánossomorja	town
00943	Levél	village
00944	Városlőd	village
00945	Takácsi	village
00946	Gyarmat	village
00947	Szentkút	suburb
00948	Csikvánd	village
00949	Nagyszentpál	hamlet
00950	Tényő	village
00951	Pannonhalma	town
00952	Nyúl	village
00953	Győrszentiván	suburb
00954	Nagyszentjános	village
00955	Bábolna	town
00956	Bana	village
00957	Boronka	hamlet
00958	Csömend	village
00959	Nikla	village
00960	Hódoshát	hamlet
00961	Pusztakovácsi	village
00962	Tibolapuszta	farm
00963	Somogyfajsz	village
00964	Kürtöspuszta	suburb
00965	Bodrog	village
00966	Csombárd	village
00967	Juta	village
00968	Tengelic	village
00969	Kanacspuszta	hamlet
00970	Szedres	village
00971	Dunakiliti	village
00972	Tejfalusziget	hamlet
00973	Alsópélpuszta	farm
00974	Szabatonpuszta	farm
00975	Pálfa	village
00976	Felsőrácegres	hamlet
00977	Szárazd	village
00978	Tabódszerdahely	suburb
00979	Tabód	suburb
00980	Aparhant	village
00981	Izmény	village
00982	Szárász	village
00983	Hegyhátmaróc	village
