Id	Location	Type
07048	Csokvaomány	village
07049	Kolónia	locality
07050	Placskó	hamlet
07051	Szilvás	suburb
07052	Szolnok	city
07053	Hűtőgépgyári lakótelep	suburb
07054	Portelekitanyák	farm
07055	Krizsán	hamlet
07056	Neszür	suburb
07057	Mánfa	village
07058	Országúti földek	locality
07059	Kővágó	locality
07060	Zsírospuszta	locality
07061	Dolnobukovský pasienok	locality
07062	Otvor	locality
07063	Vinice	locality
07064	Za hrádzou	locality
07065	Csárdapuszta	locality
07066	Lesenceistvánd	village
07067	Lászlótanya	hamlet
07068	Kónya	suburb
07069	Rudolftanya	hamlet
07070	Taliándörögd	village
07071	Kapolcs	village
07072	Szanazug	hamlet
07073	Forgáchtelep	suburb
07074	Idegér	suburb
07075	Gorkij-lakótelep	suburb
07076	Eperjes telep	suburb
07077	Károlyakna	suburb
07078	Rokkanttelep	suburb
07079	Kemerovó lakótelep	suburb
07080	Napsugár lakótelep	suburb
07081	Béketelep	suburb
07082	Beszterce lakótelep	suburb
07083	Csizmadiatelep	suburb
07084	Karapancsa	locality
07085	Ponyipuszta	suburb
07086	Művésztelep	suburb
07087	Szabadságtelep	suburb
07088	Jónáschtelep	suburb
07089	Pécskőpuszta	suburb
07090	Alsópálfalva	suburb
07091	Szilvás	suburb
07092	Barackos	suburb
07093	Budveszeltanya	farm
07094	Kertváros	suburb
07095	Belváros	suburb
07096	Susán	suburb
07097	Hódtó	suburb
07098	Újváros	suburb
07099	Csúcs	suburb
07100	Tabán	suburb
07101	Béketelep	suburb
07102	Öregkishomok	suburb
07103	Tarján	suburb
07104	Barattyos	suburb
07105	Kisiszka	locality
07106	Felsőkincses	hamlet
07107	Börzsönyliget	locality
07108	Tatár-árok	hamlet
07109	Szupatak	hamlet
07110	Kútvölgy	suburb
07111	Kopáncs	suburb
07112	Erzsébet	suburb
07113	Vajhát	suburb
07114	Mártélyi üdülőterület	suburb
07115	Szitásdomb Lakópark	suburb
07116	Strážne	village
07117	Magyartés	suburb
07118	Dózsa Tsz lakótelepe	hamlet
07119	Dollártanya	hamlet
07120	Öregmajor	hamlet
07121	Gátőrház	farm
07122	Ófalu	hamlet
07123	Tarka-völgy	locality
07124	Nagy-Köblös	locality
07125	Tófarok	locality
07126	Berek	locality
07127	Igásitanya	farm
07128	Lapis	locality
07129	Ócsanálos	hamlet
07130	Szihalom	village
07131	Kiskovácsi	suburb
07132	Gencshát	hamlet
07133	Tiszabezdéd	village
07134	Ardics	suburb
07135	Bajcsy-Ráday	suburb
07136	Buják	suburb
07137	Dózsa-telep	suburb
07138	Gerizdes	suburb
07139	Honvéd	suburb
07140	Ingó	suburb
07141	Ipari terület	suburb
07142	Vertán	suburb
07143	Újváros	suburb
07144	Papere	suburb
07145	Nyolcvanas lakótelep	suburb
07146	Bajtitelep	hamlet
07147	Lupasziget	suburb
07148	Belváros	suburb
07149	Dél-Kálváriapart	suburb
07150	Déli iparterület	suburb
07151	Felsőváros	suburb
07152	Gyöngyöspüspöki	suburb
07153	Mátrai úti lakótelep	suburb
07154	Pesti úti lakótelep	suburb
07155	Pipishegy	locality
07156	Észak-Kálváriapart	suburb
07157	Szénaberek	locality
07158	Fülöpi osztott földek	locality
07159	Sweigervágás	locality
07160	Kanász-kút	locality
07161	Sárgaház	locality
07162	Gulyarét	locality
07163	Erdészlak	farm
07164	Árpás-kert	locality
07165	Disznó-gödör	locality
07166	Bika-rét	locality
07167	Almás-kert	locality
07168	Füles	locality
07169	Vörösmarty-lakótelep	suburb
07170	Bikolpuszta	hamlet
07171	Bagota	suburb
07172	Tilospuszta	farm
07173	Nádorkert	suburb
07174	Dénesmajor	suburb
07175	Városerdő	suburb
07176	Nagytökös	locality
07177	Gyevi-fok	locality
07178	Mátyásföldi (volt) repülőtér	locality
07179	Alsó-rétek	hamlet
07180	Homoki-dűlő	locality
07181	Irtvány-kertek	locality
07182	Irtás-dűlő	locality
07183	Kender-föld	locality
07184	Zsellérek legelője	locality
07185	Öreg-szőlők	locality
07186	Újhegyi-szőlők	locality
07187	Térvár	hamlet
07188	Istvánmajor	suburb
07189	Belsőkamaráspuszta	hamlet
07190	Árpádtelep	hamlet
07191	Dunaszentpál	village
07192	Szentgyörgy lakóparkok	suburb
07193	Alsópakony	suburb
07194	Felsőbabád-Újtelep	suburb
07195	Szúnyog-sziget	locality
07196	Csalapuszta	locality
07197	Németvölgy	suburb
07198	Nagycséripuszta	hamlet
07199	Kiscséripuszta	hamlet
07200	Karsai sor	hamlet
07201	Ergényi lakótelep	suburb
07202	Alsóberek	locality
07203	Sárdi rét	locality
07204	Pintér-hegy	locality
07205	Kövesgyűrpuszta	hamlet
07206	Berva	locality
07207	Sági út	hamlet
07208	Basaharc	hamlet
07209	Pilismarót-Dunapart	hamlet
07210	Balinta	locality
07211	Gola	village
07212	Sorrento	locality
07213	Cibakpuszta	hamlet
07214	Béketelep	hamlet
07215	Sánc-hegy	locality
07216	Sátor-domb	locality
07217	Felsőörspuszta	hamlet
07218	Felsőkereszthegy	farm
07219	Kocsis Tanya	farm
07220	Író utcák	suburb
07221	Öreghegy	hamlet
07222	Geda-halom	locality
07223	Aranyoskút	hamlet
07224	Magyarkút	hamlet
07225	Rákóczitelep	hamlet
07226	Alsószenttamás	suburb
07227	Nyulasdűlő	hamlet
07228	Ambrustanya	farm
07229	Erdőmajor	farm
07230	Barci rét	locality
07231	Kutyafenék	locality
07232	Körtvélyes	locality
07233	Ányás	locality
07234	Belátó	hamlet
07235	Tabán	hamlet
07236	Magdolnatelep	suburb
07237	Растина	village
07238	Bethlen Gábor lakótelep	suburb
07239	Vásár tér	suburb
07240	Tompapuszta	hamlet
07241	Golgota	suburb
07242	Revetek	suburb
07243	Belegrád	village
07244	Tükröspuszta	farm
07245	Sásdi rét	locality
07246	Bárnevóna	locality
07247	Edvi-haraszt	locality
07248	Edvi-szeri kertalja	locality
07249	Edvi-szeri rét-dűlő	locality
07250	Felső-kecskerágó	locality
07251	Kecskerágó	locality
07252	Kecöli-harasztalja	locality
07253	Közép-dűlő	locality
07254	Potyondi-szeri kertalja és Tabóka	locality
07255	Potyondi-szeri rét-dűlő	locality
07256	Páli-határra-dűlő	locality
07257	Páli-útra-dűlő	locality
07258	Szurdoki-dűlő	locality
07259	Szurdoki-rész	locality
07260	Tüskés	locality
07261	Nagyhomok	hamlet
07262	Nagy-rét	locality
07263	Ágoston major	locality
07264	Alsórét	locality
07265	Ilonamajori földek	locality
07266	Pilis-nyereg	locality
07267	Szentpálfalva	suburb
07268	Galgamácsa	village
07269	Mátraballa	village
07270	Percsora	locality
07271	Petres	locality
07272	Bánó tanya - Nagypáncélos	farm
07273	Újvári	suburb
07274	Nagyszénás	village
07275	Sas-hegy	locality
07276	Ófalu	hamlet
07277	Újtelep	hamlet
07278	Koloska-völgy	locality
07279	Póstelek	suburb
07280	Aranyosvölgy	suburb
07281	Déli intézményközpont	suburb
07282	Sashegy	suburb
07283	Sós-köves	locality
07284	Pilisújtanya	hamlet
07285	Déli lakóterület	hamlet
07286	Máriaudvar	suburb
07287	Telep	suburb
07288	Falu	suburb
07289	Buda	suburb
07290	Kőkapu	hamlet
07291	Böröllő	farm
07292	Béketelep	suburb
07293	Tiszavég	suburb
07294	Zsellérdűlő	farm
07295	Hörnyék	suburb
07296	Újbalázsfalva	hamlet
07297	Suhatag	locality
07298	Boldogasszonypuszta	hamlet
07299	Ráktanya	farm
07300	Erzsébetfalva	suburb
07301	Gubacs	suburb
07302	Corvin negyed	suburb
07303	Csarnok negyed	suburb
07304	Ganz negyed	suburb
07305	Losonci negyed	suburb
07306	Magdolna negyed	suburb
07307	Népszínház negyed	suburb
07308	Palotanegyed	suburb
07309	Százados negyed	suburb
07310	Belső-Ferencváros	suburb
07311	Középső-Ferencváros	suburb
07312	Külső-Ferencváros	suburb
07313	Morgánypuszta	hamlet
07314	Thury-városrész	suburb
07315	Óváros	suburb
07316	MAORT-telep	suburb
07317	Cserepúp	farm
07318	Csobogóköz	farm
07319	Anna-hegy	farm
07320	Kánnártető	farm
07321	Nagyhegy	hamlet
07322	Régi tatai szeméttelep	locality
07323	Alsószállás	suburb
07324	Felsőszállás	suburb
07325	Vasútsor	hamlet
07326	Környebánya	hamlet
07327	Síkvölgypuszta	hamlet
07328	Erdőhát	farm
07329	Kismarton	farm
07330	Orbánhegy	farm
07331	Kishantos	hamlet
07332	Alvég	suburb
07333	Felvég	suburb
07334	G-falu	suburb
07335	Partalja	suburb
07336	Óhatvan	suburb
07337	Újhatvan	suburb
07338	Bónomzug	farm
07339	Harcsászug	farm
07340	Révzug	farm
07341	Templomzug	farm
07342	Sóczózug	farm
07343	Csisztafürdő	hamlet
07344	Kilátóhegy	hamlet
07345	Bolyok	suburb
07346	Ráctag	suburb
07347	Réti halastavak	locality
07348	Kisbózsva	hamlet
07349	Tunyogmatolcs	village
07350	Belsőecser	locality
07351	Kaján	locality
07352	Jaksor	locality
07353	Dobódél	hamlet
07354	Újfalu	hamlet
07355	Északi városrész	hamlet
07356	Öregfalu	hamlet
07357	Kopazka	hamlet
07358	Alsóhetény	hamlet
07359	Fürkehalom	locality
07360	Palé	locality
07361	Solt	locality
07362	Madarászföld	locality
07363	Ferenc-tábla	locality
07364	Páskom	locality
07365	Rónafalu	suburb
07366	Aranyospuszta	hamlet
07367	Fügöd	suburb
07368	Abaújdevecser	suburb
07369	Józsefháza	suburb
07370	Akasztódomb	suburb
07371	Baji-földek	locality
07372	Bocska-hegy	locality
07373	Bánhidai úti dűlő	locality
07374	Fajzás	locality
07375	Fényes-dűlő	locality
07376	Here-földek	locality
07377	Irtás-legelő	locality
07378	Kecske-dűlő	locality
07379	Kis-les	locality
07380	Kutya-hegy	hamlet
07381	Köles-dűlő	locality
07382	Major-hegyi-akácos	locality
07383	Nagy-rét	locality
07384	Remeteségi erdő	locality
07385	Régi téglagyár maradványai	locality
07386	Széles-csapás-dűlő	locality
07387	Újhegy	suburb
07388	Újtelep	hamlet
07389	Kupafalu	locality
07390	Ipari park	locality
07391	Tiszaszederkény	suburb
07392	Pálfalu	suburb
07393	Dlhá lúka	locality
07394	Husia pastva	locality
07395	Kapustné záhrady	locality
07396	Lúky	locality
07397	Pod luhom	locality
07398	Za ráztokou	locality
07399	Abapuszta	hamlet
07400	Csiffytanya	hamlet
07401	Jármy tanya	hamlet
07402	Petritanya	hamlet
07403	Tormáspuszta	hamlet
07404	Déssytanya	hamlet
07405	Nagykecskés	hamlet
07406	Kiskecskés	hamlet
07407	Szitástanya	hamlet
07408	Nádastanya	hamlet
07409	Nagymogyorós	hamlet
07410	Trombitás	hamlet
07411	Kismogyorós	hamlet
07412	Magfalva	farm
07413	Perkedpuszta	hamlet
07414	Újhelyitanya	hamlet
07415	Vecsertanya	hamlet
07416	Kenderes	hamlet
07417	Tűzkövesbörc tanya	farm
07418	Fanyilas	suburb
07419	Újtelep	suburb
07420	Szulla	suburb
07421	Gagarinmajor	farm
07422	Jasenec	locality
07423	Pri Ipli	locality
07424	Cvrkavka	locality
07425	Dedinské lúky	locality
07426	Dlhé Ružiny	locality
07427	Do Ráztoky koncom	locality
07428	Dolné lúky	locality
07429	Hradište	locality
07430	Hrúžeľ	locality
07431	Lukošský kút	locality
07432	Pri Ráztoke	locality
07433	Pri pivniciach	locality
07434	Ráztoka	locality
07435	Urbárska pastva	locality
07436	Veľký kút	locality
07437	Prídunajské	locality
07438	Šulianske rameno	locality
07439	Levendulakert	suburb
07440	Farkasordító dűlő	farm
07441	Elhagyott szovjet lakótelep	locality
07442	Visnyeszéplak	hamlet
07443	Nagygyanté	hamlet
07444	Gyakorlótér	locality
07445	Annamajor	hamlet
07446	Pettend	hamlet
07447	Billegérihegy	locality
07448	Pusztaszentistván	suburb
07449	Kisapátihegy	hamlet
07450	Subasa	suburb
07451	Vastaghalompuszta	hamlet
07452	Síkvölgyi körtés	farm
07453	Síkvölgyi almás	farm
07454	Dögállás	locality
07455	Vidre-torok	locality
07456	Gyevitanyák	farm
07457	Fenyves	locality
07458	Szunyogos	locality
07459	Zöldhalom	hamlet
07460	Pusztataskony	hamlet
07461	Fácános	locality
07462	Határnyereg	locality
07463	Virágos-nyereg	locality
07464	Újtelep	suburb
07465	Csibrák	village
07466	Maklár	village
07467	Baranya megye	county
07468	Borsod-Abaúj-Zemplén megye	county
07469	Bács-Kiskun megye	county
07470	Békés megye	county
07471	Csongrád megye	county
07472	Fejér megye	county
07473	Győr-Moson-Sopron megye	county
07474	Hajdú-Bihar megye	county
07475	Heves megye	county
07476	Jász-Nagykun-Szolnok megye	county
07477	Komárom-Esztergom megye	county
07478	Nógrád megye	county
07479	Pest megye	county
07480	Somogy megye	county
07481	Szabolcs-Szatmár-Bereg megye	county
07482	Tolna megye	county
07483	Vas megye	county
07484	Veszprém megye	county
07485	Zala megye	county
07486	Paptelek	hamlet
07487	Tompahát-Újfalu	hamlet
07488	Minta lakótelep	suburb
07489	Dujmó lakópark	suburb
07490	József Attila-telep	suburb
07491	Bucka	suburb
07492	Foltán-kereszt nyereg	locality
07493	Kálvária-domb	locality
07494	Sósmocsár	locality
07495	Leef Park	locality
07496	Malom-berek	locality
07497	Nána-hegy	locality
07498	Szentgyörgypuszta	hamlet
07499	Mászlony	suburb
07500	Volt szovjet laktanya	locality
07501	Inámpuszta	hamlet
07502	Nosztány puszta	hamlet
07503	Fenyves-Parkváros	suburb
07504	Görénypuszta	hamlet
07505	Szentivánpuszta	hamlet
07506	Major-hegy alja	locality
07507	Zsellér-dűlő	locality
07508	Gotalovo	village
07509	Ökofalu	suburb
07510	Üdülőtelep	hamlet
07511	Bánomkert	farm
07512	Harsánylejtő	suburb
07513	Andrástanya	farm
07514	Piszke	suburb
07515	Abádszalóki-medence	locality
07516	Poroszlói-medence	locality
07517	Sarudi-medence	locality
07518	Tiszavalki-medence	locality
07519	Gerhák	locality
07520	Kiserdő dűlő	locality
07521	Pedagógus földek	locality
07522	Sóstó dűlő	locality
07523	Tarcsai-úti dűlő	locality
07524	Vesztőhely	locality
07525	Angolpark	locality
07526	Millér	suburb
07527	Zsaró tanya	farm
07528	Elep	hamlet
07529	Nagyzomlin	suburb
07530	Rekultivált hulladéklerakó	locality
07531	Kápolnapuszta	locality
07532	Öreg-déllő	locality
07533	Rácegres	hamlet
07534	Bottyán-hegy	suburb
07535	Parászta	suburb
07536	Újváros	suburb
07537	Hosszúrétitanya	farm
07538	Vétyem Erdőrezervátum	locality
07539	Hatökör ura	locality
07540	Mátra-nyereg	locality
07541	Száraz-horog	locality
07542	Temető szőlős	hamlet
07543	Vermek	locality
07544	Petőfitanya	farm
07545	Balatonszárszó	village
07546	Bögös-rét	locality
07547	Árnyék-bérc	locality
07548	Emlékpark	locality
07549	Dádpuszta	locality
07550	Gyűrűs-oldal	locality
07551	Csigéd-farok	locality
07552	Dezsővár	locality
07553	Kövesbérc	locality
07554	Kilences-tető	locality
07555	Bélápapuszta	farm
07556	Hídszeg	farm
07557	Kétgátközi kert	suburb
07558	Vágóhidikert	suburb
07559	Vakotazug	farm
07560	Pádár-zug	locality
07561	Méher-zug	locality
07562	Simai-zug	locality
07563	Ballószeg	hamlet
07564	Emmaróza	hamlet
07565	Tökfalu	hamlet
07566	Bagófalu	suburb
07567	Tímárpuszta	farm
07568	Sárpentelei Parkerdő	locality
07569	Sárpentelei Tornapálya	locality
07570	Gyártelep	suburb
07571	Kónyatelep	suburb
07572	Sárgapart	locality
07573	Jeli Arborétum	locality
07574	Kiskő	locality
07575	Gaskó-rét	locality
07576	Bodzáskert	suburb
07577	Székeskert	farm
07578	Pusztaperes	farm
07579	Töviskes-zug	locality
07580	Harcsás	locality
07581	Túrtő	farm
07582	Merzse-mocsár	locality
07583	Felsőrészinyomás	farm
07584	Lütyőkert	farm
07585	Marászzug	locality
07586	Királykút	farm
07587	Fényeshegy	hamlet
07588	Felsőlengyend	locality
07589	Barna-rét	locality
07590	Alsórészinyomás	farm
07591	Alsórészivízköz	farm
07592	Felsőrészivíköz	farm
07593	Alsórésziregálé	farm
07594	Újvárosiregálé	farm
07595	Béketelep	suburb
07596	Kákás	farm
07597	Oprekert	farm
07598	Vízközikert	suburb
07599	Tűzköves-árok	locality
07600	Fajzatpuszta	locality
07601	Sósi rét	locality
07602	Károlytáró lakótelep	hamlet
07603	Kapolypuszta	hamlet
07604	Fenyvespuszta	locality
07605	Szorospatak	locality
07606	Bükkpuszta	farm
07607	Ritics	hamlet
07608	Balátai-erdő	locality
07609	Szénégető-erdő	locality
07610	volt Felsőkakpuszta	locality
07611	Pálháza	locality
07612	Nagymező	locality
07613	Fürdőtelep	suburb
07614	Rózsaszállás	locality
07615	Markazi kapu	locality
07616	Domoszlói kapu	locality
07617	Négyeshatár	locality
07618	Hármashatár	locality
07619	Sötét-lápa nyereg	locality
07620	Tarcódi pincék	hamlet
07621	Muzsla nyereg	locality
07622	Rejetanya	suburb
07623	Nagyparlag	locality
07624	Kepik major	suburb
07625	Szandazug	farm
07626	Álomzug	farm
07627	Csörötneki szőlőhegy	hamlet
07628	Bogárzó-zug	locality
07629	Zseber	locality
07630	Fülöptanya	farm
07631	Bocskorkert	suburb
07632	Kincseskert	suburb
07633	Vénkert	suburb
07634	Drágakert	suburb
07635	Nagykaba	farm
07636	Csejtpuszta	farm
07637	Csudabala	locality
07638	Himesdi-lapos	locality
07639	Túrkedd	locality
07640	Barta	suburb
07641	Pusztaszakállas	suburb
07642	Csorba	suburb
07643	Póhalom	suburb
07644	Dzedó-nyak	locality
07645	Hutahely	locality
07646	Bagolyvár	locality
07647	Bányatelep	locality
07648	Szépalmapuszta	farm
07649	Károlyvár	locality
07650	Csárda-völgy	locality
07651	Cserép-tó	locality
07652	Haraszt	suburb
07653	Központ	suburb
07654	Disznó kő	locality
07655	Hollókő	locality
07656	Egyetem	suburb
07657	Bodroghalász	suburb
07658	Keskeny-rét	locality
07659	Liszkó	hamlet
07660	Liszkó gyártelep	locality
07661	Sirok, Kútvölgyi szabadidőpark	locality
07662	Tardona	village
07663	Kórház teniszpályák	locality
07664	Szőlőhegy	locality
07665	Szentkirály	village
07666	Dusnokpuszta	suburb
07667	Tiszaparti Városrész	suburb
07668	Kincs-pihenő	locality
07669	Szalaymajor	locality
07670	Hosszú-haraszt	locality
07671	Kerti-dűlő	locality
07672	Réti-dűlő	locality
07673	Réti-földek	locality
07674	Somos-erdő	locality
07675	Új Mindszent	locality
07676	Anger-rét	locality
07677	Hidegkút	locality
07678	Muzslai üdülők	hamlet
07679	Máriatanya	hamlet
07680	Aranyhegyi-szőlők	locality
07681	Gránás	locality
07682	Korcsmáros-domb	locality
07683	Orondi-szőlők	locality
07684	Pátrácos	locality
07685	Kis-hegy	locality
07686	Szanticska	suburb
07687	Fecskés	suburb
07688	Raklap-pihenő	locality
07689	Pogányok	hamlet
07690	Azáleás-völgy	locality
07691	Telekiszőlők	farm
07692	Óalmás	farm
07693	Ferenctanya	hamlet
07694	Maconka	suburb
07695	Sándortanya	hamlet
07696	Bejcgyertyánosi csemetekert	locality
07697	Újkút	locality
07698	Zsolyomkai Pincesor	locality
07699	Józsefházapuszta	hamlet
07700	Felsőpázsit	suburb
07701	Borbánya	suburb
07702	Sóstógyógyfürdő	suburb
07703	Dózsaszőlő	suburb
07704	Alsópázsit	suburb
07705	Hidegkút	locality
07706	Körtefa-nyereg	locality
07707	Jókai telep	suburb
07708	Kistokaj	suburb
07709	Újkótaj	hamlet
07710	Kabalás	suburb
07711	Mályváskert	suburb
07712	Felsőbadúrbokor	suburb
07713	Szombathelyi kavicsbánya	locality
07714	Kotlok	farm
07715	Háromforrás	locality
07716	Bala	farm
07717	Derenk	hamlet
07718	Csisztapuszta	hamlet
07719	Dorogpuszta	farm
07720	Újtelep	hamlet
07721	Nagy-Szárcsás	locality
07722	Üdülőtelep	locality
07723	Tipászó	suburb
07724	Koszonya-tető	locality
07725	Biharkeresztes	town
07726	Keresztesi nyereg	locality
07727	Kiskálló	suburb
07728	Vödörvölgy	hamlet
07729	Röges	suburb
07730	Tiszapart	suburb
07731	Sohollár	locality
07732	Taspuszta	locality
07733	Árpádváros	suburb
07734	Aklimajor	farm
07735	Budakeszi erdészet	farm
07736	Sötét-völgy	locality
07737	Hegyestű Geológiai Bemutatóhely	locality
07738	Kecske-bérc	locality
07739	Ötfa	locality
07740	Fényespuszta	hamlet
07741	Északi lakótelep	suburb
07742	Cinevég	suburb
07743	Keleti lakótelep	suburb
07744	Ráckert lakótelep	suburb
07745	Fellegvár	suburb
07746	Újtelep	suburb
07747	Tiszabűd	suburb
07748	Bűdszentmihály	suburb
07749	Biharitanya	farm
07750	Kű-völgy	locality
07751	Áldozó	locality
07752	Virányos	suburb
07753	Táltos lovastanya	farm
07754	Csertó	locality
07755	Vaytelep	suburb
07756	Felsőnyírvárimajor	farm
07757	Kányástelep	hamlet
07758	Szentkút	hamlet
07759	Orlovác	suburb
07760	Tábla	suburb
07761	Szenna	suburb
07762	Velencetelep	suburb
07763	Kenderszer	suburb
07764	Meggyes	suburb
07765	Táncsicstelep	suburb
07766	Báriuspad	hamlet
07767	Messelia	suburb
07768	Budzsak	hamlet
07769	Szabás	hamlet
07770	Kövesd	hamlet
07771	Margitmajor	farm
07772	Kápolnásvisnye	hamlet
07773	Pacsérvisnye	hamlet
07774	Téglás	town
07775	Voelkertelep	suburb
07776	Újtelep	hamlet
07777	Újcsanálosipart	hamlet
07778	Józsaliget lakópark	suburb
07779	Kispart	hamlet
07780	Nagypart	hamlet
07781	Csőketanya	farm
07782	Barna Farm Tehenészeti Telep	farm
07783	Barna Farm	farm
07784	Kaszatanya	farm
07785	Kristontanya	farm
07786	Méhitanya	farm
07787	Némethtanya	farm
07788	Pukitanya	farm
07789	Tepélypuszta	farm
07790	Verestanya	farm
07791	Erzsébetliget	suburb
07792	Lestyina	hamlet
07793	Harangod	suburb
07794	Nagypostavölgy	hamlet
07795	Ždala	village
07796	Ráróspuszta	hamlet
07797	Keselyűsdülő	locality
07798	Nagyszállási zártkertek	hamlet
07799	Szőlőskert	locality
07800	Keselyősfapuszta	farm
07801	Széptölgyes	hamlet
07802	Bonyhádszerdahely	farm
07803	Lovas tanya	farm
07804	Holland falu üdülőtelep	farm
07805	Aranyhegy	suburb
07806	Honti-szakadék	locality
07807	Bányatelep	hamlet
07808	Bárómajor	hamlet
07809	Bótapuszta	hamlet
07810	Erzsébetpuszta	hamlet
07811	Izlandi lovaspark	locality
07812	Lapapuszta	hamlet
07813	Liget lakótelep	hamlet
07814	Pogonypuszta Soldostelep	hamlet
07815	Pusztasomodor	farm
07816	Pusztatúrpásztó	farm
07817	Rákóczikert	hamlet
07818	Somodorpuszta	hamlet
07819	Tölös kültelep	hamlet
07820	Újbányatelep	suburb
07821	Répáspuszta	hamlet
07822	Válickapuszta	hamlet
07823	Lajvér	hamlet
07824	Vázkerámia-lakótelep	hamlet
07825	Burgundia	suburb
07826	Cibak	locality
07827	Csikóspuszta	locality
07828	Mátészalkai Ipari Park	suburb
07829	Miklóskapu	suburb
07830	Göböljárás	farm
07831	Breziny	locality
07832	Krupov dvor	locality
07833	Lúky pri Hati	locality
07834	Pri Roňve	locality
07835	Repianky	locality
07836	Veľký Ortáš	locality
07837	Vrchné nížiny	locality
07838	Vyšné lúky	locality
07839	Dolná lúka	locality
07840	Horné Lúky	locality
07841	Nagylapos	suburb
07842	Paradicsomos	locality
07843	Köntösgát	suburb
07844	Tiszapart	suburb
07845	Petőczpuszta	farm
07846	Kilences	locality
07847	Csukás-dűlő	locality
07848	Nagysáritó	locality
07849	Sártó	locality
07850	Kistökös	locality
07851	Tételháti-ártér	locality
07852	Köves-sarok	locality
07853	Úsztatói-ártér	locality
07854	Tétel-hát	locality
07855	Csanyi-rét	locality
07856	Siró-hegy	locality
07857	Kurca-rét	locality
07858	Tisza-hát	locality
07859	Madari	locality
07860	Úsztatói-rét	locality
07861	Vagyonváltságos-földek	locality
07862	Rothermann-kert	locality
07863	Palina-Puszta	farm
07864	Sóskút	suburb
07865	Körmösdpuszta	village
07866	Zsibrik	hamlet
07867	Faktor-rét	locality
07868	Fekete-sár	locality
07869	Huta-rét	locality
07870	Hármas-töbör	locality
07871	Hármaskút	locality
07872	Kis-Huta-rét	locality
07873	Kertváros	suburb
07874	Fecskeszög	suburb
07875	Szabótanya	farm
07876	Egerlátó	locality
07877	Felsőnyáregyháza	hamlet
07878	Károlyitelep	hamlet
07879	Szentimretelep	hamlet
07880	Kecel	town
07881	Zánka	village
07882	Simonpuszta	farm
07883	Elviramajor	farm
07884	Inotai készenléti lakótelep	hamlet
07885	Felsőrigóci csárda	locality
07886	Sánc	locality
07887	Balogunyom	village
07888	Jamina	locality
07889	Katalinpuszta	farm
07890	Egykori Shaolin falu	locality
07891	Mexikó-puszta Pro Silva Bemutató Terület	locality
07892	Debreceni Regionális és Innovációs Ipari Park	suburb
07893	Nyugati Ipari Park	suburb
07894	Déli Ipari Park	suburb
07895	Északi-Lucernás	suburb
07896	Belváros	suburb
07897	Vénkert	suburb
07898	Délilucernás	suburb
07899	Középkert	suburb
07900	Szőlőskertek	suburb
07901	Zaboskert	suburb
07902	Kisböszörmény	suburb
07903	Szamárhát	farm
07904	BNP oktatóház	farm
07905	Neppeltanya	farm
07906	Kertes-kői-szurdok	locality
07907	Kaszás-dűlő	locality
07908	Hosszú-hát	locality
07909	Békeszálló-telep	suburb
07910	Bulgárföld	suburb
07911	Kertváros	suburb
07912	Tóváros	suburb
07913	Telep	suburb
07914	Istvántanya	hamlet
07915	Bányásztelep	suburb
07916	Kórházdomb	suburb
07917	Nyírjes	suburb
07918	Iharos	suburb
07919	Ispotály	suburb
07920	Kistó	suburb
07921	Avas	locality
07922	Józsefmajor	locality
07923	Palánkos	locality
07924	Paraszterdő	locality
07925	Pilóta-domb	locality
07926	Rózsáskerti eh.	locality
07927	Vadsűrű	locality
07928	Németfalu	suburb
07929	Bánlak	suburb
07930	Daru	suburb
07931	Vitáristanya	farm
07932	Alsószer	hamlet
07933	Csárdaszer	hamlet
07934	Pusztamajor	farm
07935	Gáj dűlő	farm
07936	Józsefháza	suburb
07937	Veronika rét	locality
07938	Ilona-völgy	locality
07939	Százhold	locality
07940	Tacskánd	locality
07941	Újhegy	locality
07942	Tücsök-major	farm
07943	Erzsébetmajor	farm
07944	Alsómajor	farm
07945	Tormás	suburb
07946	Temetőhegy	suburb
07947	Tabán	suburb
07948	Bokros	suburb
07949	Ödönmajor	farm
07950	Acskó	locality
07951	Akasztó-part	locality
07952	Bak Antal	locality
07953	Bikk-lápa	locality
07954	Druga-parlag	locality
07955	Felső-határ	locality
07956	Halmok	locality
07957	Hársas	locality
07958	Kónya	locality
07959	Odorbükk	locality
07960	Pólyás	locality
07961	Szabó-pallag	locality
07962	Szobolyaszék	locality
07963	Szőkés	locality
07964	Vecsembükk	locality
07965	Vereses	locality
07966	Várútalja	locality
07967	Úthosszú	locality
07968	Farkassziget	locality
07969	Volt lőtér	locality
07970	Bálintmajor	farm
07971	Csobánkatanya	farm
07972	Szapárfalumajor	farm
07973	Kasztellmajor	farm
07974	Hillértanyák	farm
07975	Kocsordostanya	farm
07976	Tóparttanya	farm
07977	Kösélyszegtanya	farm
07978	Mihályhalma	farm
07979	Nyárzugtanya	farm
07980	Jeklikovács	farm
07981	Oláhmajor	farm
07982	Mosztongamajor	farm
07983	Dobokanagyjárás	farm
07984	Ószőlők	farm
07985	Szászitelep	farm
07986	Hónigpuszta	farm
07987	Berekaljadűlő	farm
07988	Angyaldomb	farm
07989	Szöcskadűlő	farm
07990	Erdőtelek	farm
07991	Istvánmajor	farm
07992	Frankmalom	farm
07993	Malmok	farm
07994	Mihálydomb	farm
07995	Märczpuszta	farm
07996	Óhegy	farm
